,CAPTAIN,UTIL1,UTIL2,UTIL3,UTIL4,UTIL5,WINS,RECORD,WIN PCT,COST
166,Devin Booker,Khris Middleton,Jrue Holiday,Mikal Bridges,Cameron Payne,P.J. Tucker,240435,240435-257565-0,0.48280120481927713,49000.0
167,Jrue Holiday,Khris Middleton,Chris Paul,Deandre Ayton,Mikal Bridges,E'Twaun Moore,240416,240416-257584-0,0.48276305220883536,49400.0
168,Jrue Holiday,Khris Middleton,Deandre Ayton,Brook Lopez,Mikal Bridges,Cameron Johnson,240136,240136-257864-0,0.4822008032128514,48800.0
169,Jrue Holiday,Khris Middleton,Devin Booker,Deandre Ayton,Jae Crowder,Thanasis Antetokounmpo,240103,240103-257897-0,0.4821345381526104,48800.0
170,Khris Middleton,Devin Booker,Jrue Holiday,Deandre Ayton,Jae Crowder,Axel Toupane,239920,239920-258080-0,0.48176706827309235,49400.0
171,Jrue Holiday,Khris Middleton,Devin Booker,Brook Lopez,P.J. Tucker,Cameron Johnson,239844,239844-258156-0,0.4816144578313253,48400.0
172,Deandre Ayton,Khris Middleton,Devin Booker,Jrue Holiday,Jae Crowder,Bryn Forbes,239843,239843-258157-0,0.48161244979919676,49800.0
173,Khris Middleton,Devin Booker,Jrue Holiday,Deandre Ayton,P.J. Tucker,Jeff Teague,239752,239752-258248-0,0.481429718875502,48800.0
174,Deandre Ayton,Chris Paul,Devin Booker,Jrue Holiday,Jae Crowder,Cameron Johnson,239672,239672-258328-0,0.48126907630522087,49600.0
175,Jrue Holiday,Khris Middleton,Chris Paul,Deandre Ayton,Cameron Payne,Bryn Forbes,239379,239379-258621-0,0.48068072289156627,49400.0
176,Khris Middleton,Chris Paul,Jrue Holiday,Mikal Bridges,Cameron Payne,P.J. Tucker,239271,239271-258729-0,0.48046385542168674,49600.0
177,Jrue Holiday,Khris Middleton,Chris Paul,Brook Lopez,Jae Crowder,Cameron Johnson,239235,239235-258765-0,0.48039156626506024,49800.0
178,Cameron Payne,Khris Middleton,Chris Paul,Jrue Holiday,Deandre Ayton,P.J. Tucker,239085,239085-258915-0,0.48009036144578315,49100.0
179,Mikal Bridges,Khris Middleton,Devin Booker,Jrue Holiday,Deandre Ayton,Dario Saric,238913,238913-259087-0,0.47974497991967874,48600.0
180,Jrue Holiday,Khris Middleton,Devin Booker,Mikal Bridges,Jae Crowder,Cameron Johnson,238878,238878-259122-0,0.4796746987951807,48200.0
181,Deandre Ayton,Khris Middleton,Devin Booker,Jrue Holiday,Torrey Craig,Cameron Johnson,238869,238869-259131-0,0.4796566265060241,48400.0
182,Mikal Bridges,Khris Middleton,Chris Paul,Devin Booker,Deandre Ayton,Cameron Johnson,238692,238692-259308-0,0.4793012048192771,50000.0
183,Devin Booker,Khris Middleton,Jrue Holiday,Deandre Ayton,Jae Crowder,Jeff Teague,238525,238525-259475-0,0.47896586345381525,49600.0
184,Devin Booker,Khris Middleton,Jrue Holiday,Deandre Ayton,Cameron Johnson,Dario Saric,238500,238500-259500-0,0.4789156626506024,47200.0
185,Jrue Holiday,Khris Middleton,Devin Booker,Deandre Ayton,Mikal Bridges,Axel Toupane,238494,238494-259506-0,0.4789036144578313,49200.0
186,Khris Middleton,Devin Booker,Jrue Holiday,Deandre Ayton,Cameron Payne,Thanasis Antetokounmpo,238313,238313-259687-0,0.47854016064257027,48400.0
187,Jrue Holiday,Chris Paul,Devin Booker,Deandre Ayton,Mikal Bridges,Dario Saric,238306,238306-259694-0,0.4785261044176707,49600.0
188,Khris Middleton,Devin Booker,Jrue Holiday,Deandre Ayton,Torrey Craig,Dario Saric,238254,238254-259746-0,0.47842168674698793,48600.0
189,Khris Middleton,Devin Booker,Jrue Holiday,Mikal Bridges,Cameron Payne,Cameron Johnson,238218,238218-259782-0,0.47834939759036144,47800.0
190,Jrue Holiday,Khris Middleton,Chris Paul,Devin Booker,Cameron Payne,Thanasis Antetokounmpo,238205,238205-259795-0,0.4783232931726908,49200.0
191,Cameron Payne,Khris Middleton,Devin Booker,Jrue Holiday,Deandre Ayton,Pat Connaughton,238111,238111-259889-0,0.4781345381526104,49300.0
192,Khris Middleton,Devin Booker,Jrue Holiday,Deandre Ayton,Cameron Payne,Abdel Nader,237843,237843-260157-0,0.47759638554216866,48600.0
193,Cameron Payne,Khris Middleton,Devin Booker,Jrue Holiday,Deandre Ayton,Cameron Johnson,237824,237824-260176-0,0.4775582329317269,47300.0
194,Khris Middleton,Devin Booker,Jrue Holiday,Deandre Ayton,Jae Crowder,Langston Galloway,237736,237736-260264-0,0.4773815261044177,49400.0
195,Jrue Holiday,Khris Middleton,Chris Paul,Devin Booker,Torrey Craig,Dario Saric,237733,237733-260267-0,0.47737550200803214,49400.0
196,Devin Booker,Khris Middleton,Jrue Holiday,Deandre Ayton,Jae Crowder,Thanasis Antetokounmpo,237661,237661-260339-0,0.4772309236947791,49000.0
197,Jrue Holiday,Khris Middleton,Chris Paul,Deandre Ayton,Torrey Craig,Cameron Johnson,237516,237516-260484-0,0.4769397590361446,49000.0
198,Devin Booker,Khris Middleton,Jrue Holiday,Deandre Ayton,P.J. Tucker,Bryn Forbes,237395,237395-260605-0,0.47669678714859437,49200.0
199,Deandre Ayton,Khris Middleton,Devin Booker,Jrue Holiday,Pat Connaughton,Dario Saric,237376,237376-260624-0,0.4766586345381526,48600.0
200,Khris Middleton,Devin Booker,Jrue Holiday,Deandre Ayton,Cameron Johnson,Bryn Forbes,237360,237360-260640-0,0.4766265060240964,48000.0
201,Deandre Ayton,Khris Middleton,Chris Paul,Devin Booker,Jae Crowder,Dario Saric,237193,237193-260807-0,0.4762911646586345,50000.0
202,Khris Middleton,Devin Booker,Jrue Holiday,Brook Lopez,Pat Connaughton,Cameron Johnson,237064,237064-260936-0,0.47603212851405624,49400.0
203,Jrue Holiday,Khris Middleton,Devin Booker,Deandre Ayton,Cameron Payne,E'Twaun Moore,236826,236826-261174-0,0.4755542168674699,47800.0
204,Jrue Holiday,Khris Middleton,Deandre Ayton,Brook Lopez,Cameron Payne,P.J. Tucker,236823,236823-261177-0,0.47554819277108434,49000.0
205,Devin Booker,Khris Middleton,Chris Paul,Deandre Ayton,P.J. Tucker,Dario Saric,236790,236790-261210-0,0.47548192771084336,49400.0
206,Jrue Holiday,Khris Middleton,Devin Booker,Deandre Ayton,Mikal Bridges,Langston Galloway,236768,236768-261232-0,0.4754377510040161,49200.0
207,P.J. Tucker,Khris Middleton,Chris Paul,Devin Booker,Jrue Holiday,Cameron Johnson,236656,236656-261344-0,0.47521285140562247,48400.0
208,Khris Middleton,Chris Paul,Devin Booker,Jrue Holiday,P.J. Tucker,Abdel Nader,236415,236415-261585-0,0.47472891566265063,49800.0
209,Khris Middleton,Chris Paul,Devin Booker,Jrue Holiday,P.J. Tucker,Jevon Carter,236345,236345-261655-0,0.47458835341365463,49600.0
210,Deandre Ayton,Khris Middleton,Chris Paul,Jrue Holiday,Cameron Payne,Dario Saric,236335,236335-261665-0,0.4745682730923695,48600.0
211,Jrue Holiday,Khris Middleton,Devin Booker,Deandre Ayton,Pat Connaughton,Bryn Forbes,236078,236078-261922-0,0.4740522088353414,49400.0
212,Khris Middleton,Chris Paul,Devin Booker,Jrue Holiday,P.J. Tucker,Frank Kaminsky,235999,235999-262001-0,0.47389357429718876,49600.0
213,Khris Middleton,Chris Paul,Devin Booker,Deandre Ayton,Torrey Craig,Cameron Johnson,235940,235940-262060-0,0.4737751004016064,50000.0
214,Jrue Holiday,Khris Middleton,Chris Paul,Deandre Ayton,Cameron Johnson,Dario Saric,235615,235615-262385-0,0.47312248995983935,47200.0
215,Devin Booker,Khris Middleton,Chris Paul,Deandre Ayton,Cameron Payne,Dario Saric,235566,235566-262434-0,0.47302409638554216,49600.0
216,Khris Middleton,Devin Booker,Deandre Ayton,Brook Lopez,Cameron Payne,P.J. Tucker,235395,235395-262605-0,0.47268072289156626,50000.0
217,Devin Booker,Khris Middleton,Jrue Holiday,Deandre Ayton,Mikal Bridges,Jevon Carter,235319,235319-262681-0,0.4725281124497992,49400.0
218,Jae Crowder,Khris Middleton,Chris Paul,Jrue Holiday,Deandre Ayton,Cameron Johnson,235092,235092-262908-0,0.4720722891566265,49000.0
219,Jrue Holiday,Khris Middleton,Devin Booker,Deandre Ayton,Mikal Bridges,Abdel Nader,235071,235071-262929-0,0.4720301204819277,49400.0
220,Jrue Holiday,Khris Middleton,Chris Paul,Deandre Ayton,Pat Connaughton,Dario Saric,234841,234841-263159-0,0.4715682730923695,49200.0
221,Jrue Holiday,Khris Middleton,Devin Booker,Brook Lopez,Mikal Bridges,Dario Saric,234674,234674-263326-0,0.4712329317269076,49200.0
222,Khris Middleton,Chris Paul,Jrue Holiday,Deandre Ayton,Mikal Bridges,Axel Toupane,234586,234586-263414-0,0.4710562248995984,50000.0
223,Deandre Ayton,Khris Middleton,Jrue Holiday,Brook Lopez,Jae Crowder,Cameron Payne,234458,234458-263542-0,0.4707991967871486,49800.0
224,Cameron Johnson,Khris Middleton,Devin Booker,Jrue Holiday,Deandre Ayton,Jae Crowder,234214,234214-263786-0,0.47030923694779114,47400.0
225,Khris Middleton,Devin Booker,Jrue Holiday,Deandre Ayton,Cameron Payne,Jevon Carter,234081,234081-263919-0,0.4700421686746988,48400.0
226,Jrue Holiday,Khris Middleton,Deandre Ayton,Mikal Bridges,Jae Crowder,Cameron Payne,233812,233812-264188-0,0.4695020080321285,48800.0
227,Khris Middleton,Devin Booker,Deandre Ayton,Mikal Bridges,Jae Crowder,Cameron Payne,233582,233582-264418-0,0.46904016064257026,49800.0
228,Khris Middleton,Devin Booker,Jrue Holiday,Deandre Ayton,Cameron Payne,Frank Kaminsky,233526,233526-264474-0,0.4689277108433735,48400.0
229,Khris Middleton,Devin Booker,Deandre Ayton,Brook Lopez,Mikal Bridges,Cameron Johnson,233514,233514-264486-0,0.46890361445783135,49800.0
230,Devin Booker,Khris Middleton,Jrue Holiday,Deandre Ayton,Mikal Bridges,Abdel Nader,233085,233085-264915-0,0.4680421686746988,49600.0
231,Jrue Holiday,Khris Middleton,Devin Booker,Deandre Ayton,Jae Crowder,Frank Kaminsky,232497,232497-265503-0,0.46686144578313254,48800.0
232,Jrue Holiday,Khris Middleton,Devin Booker,Deandre Ayton,Mikal Bridges,Justin Jackson,232454,232454-265546-0,0.4667751004016064,49200.0
